Name,Type,calories,protein,carbohydrate,total_fat,Tags,Allergens,Swap_Group,Goal
Mixed stock,Snack,75,6.2,1.0,5.1,Veg,,Veg_Snack,Weight Loss
Meat stock,Breakfast,73,6.3,0.0,5.3,Non-Veg,,Non-Veg_Breakfast,Weight Loss
Meat stock,Snack,73,6.3,0.0,5.3,Non-Veg,,Non-Veg_Snack,Weight Loss
White stock,Breakfast,20,0.2,1.2,1.7,Veg,,Veg_Breakfast,Weight Loss
White stock,Snack,20,0.2,1.2,1.7,Veg,,Veg_Snack,Weight Loss
Meat consomme (with mutton),Breakfast,89,44.6,1.5,41.0,Non-Veg,,Non-Veg_Breakfast,Muscle Gain
Meat consomme (with mutton),Snack,89,44.6,1.5,41.0,Non-Veg,,Non-Veg_Snack,Muscle Gain
Consomme au julienne,Breakfast,83,37.5,4.5,32.0,Veg,,Veg_Breakfast,Muscle Gain
Consomme au julienne,Snack,83,37.5,4.5,32.0,Veg,,Veg_Snack,Muscle Gain
Consomme au vermicelli,Breakfast,89,45.7,3.9,38.9,Veg,,Veg_Breakfast,Muscle Gain
Consomme au vermicelli,Snack,89,45.7,3.9,38.9,Veg,,Veg_Snack,Muscle Gain
Green pea soup (Matar ka soup),Breakfast,119,33.2,10.9,38.7,Veg,,Veg_Breakfast,Muscle Gain
Green pea soup (Matar ka soup),Snack,119,33.2,10.9,38.7,Veg,,Veg_Snack,Muscle Gain
Spinach soup (Palak ka soup),Breakfast,97,31.6,9.1,42.8,Veg,,Veg_Breakfast,Muscle Gain
Spinach soup (Palak ka soup),Snack,97,31.6,9.1,42.8,Veg,,Veg_Snack,Muscle Gain
Mixed vegetable soup,Breakfast,107,24.7,8.9,35.0,Veg,,Veg_Breakfast,Muscle Gain
Mixed vegetable soup,Snack,107,24.7,8.9,35.0,Veg,,Veg_Snack,Muscle Gain
Cheese soup,Breakfast,123,37.2,5.6,51.2,Veg,,Veg_Breakfast,Muscle Gain
Cheese soup,Snack,123,37.2,5.6,51.2,Veg,,Veg_Snack,Muscle Gain
Mulligatawny soup,Breakfast,81,16.9,12.4,19.9,Veg,,Veg_Breakfast,Maintain
Mulligatawny soup,Snack,81,16.9,12.4,19.9,Veg,,Veg_Snack,Maintain
Cream of carrot soup,Breakfast,89,12.4,8.5,18.5,Veg,Dairy,Veg_Breakfast,Maintain
Cream of carrot soup,Snack,89,12.4,8.5,18.5,Veg,Dairy,Veg_Snack,Maintain
Cream of broccoli soup,Breakfast,84,13.5,5.6,19.1,Veg,Dairy,Veg_Breakfast,Maintain
Cream of broccoli soup,Snack,84,13.5,5.6,19.1,Veg,Dairy,Veg_Snack,Maintain
Cream of potato soup,Breakfast,90,12.1,9.2,18.1,Veg,Dairy,Veg_Breakfast,Maintain
Cream of potato soup,Snack,90,12.1,9.2,18.1,Veg,Dairy,Veg_Snack,Maintain
Almond soup (Badam ka soup),Breakfast,117,15.2,5.5,20.7,Veg,Nuts,Veg_Breakfast,Maintain
Almond soup (Badam ka soup),Snack,117,15.2,5.5,20.7,Veg,Nuts,Veg_Snack,Maintain
Cold cucumber cream soup ,Breakfast,35,1.0,5.3,1.0,Veg,Dairy,Veg_Breakfast,Weight Loss
Cold cucumber cream soup ,Snack,35,1.0,5.3,1.0,Veg,Dairy,Veg_Snack,Weight Loss
Cold tomato soup,Breakfast,50,0.3,1.8,4.7,Veg,,Veg_Breakfast,Weight Loss
Cold tomato soup,Snack,50,0.3,1.8,4.7,Veg,,Veg_Snack,Weight Loss
Chicken stew,Breakfast,191,10.8,6.7,13.4,Non-Veg,,Non-Veg_Breakfast,Maintain
Chicken stew,Snack,191,10.8,6.7,13.4,Non-Veg,,Non-Veg_Snack,Maintain
Veg paneer stew,Breakfast,218,10.5,15.3,12.6,Veg,Dairy,Veg_Breakfast,Maintain
Veg paneer stew,Snack,218,10.5,15.3,12.6,Veg,Dairy,Veg_Snack,Maintain
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),Breakfast,478,10.9,65.9,18.2,Veg,Gluten,Veg_Breakfast,Maintain
Methi parantha/paratha,Breakfast,222,6.4,33.3,6.5,Veg,Gluten,Veg_Breakfast,Weight Loss
Bathua poori,Lunch,1496,5.9,34.6,147.8,Veg,,Veg_Lunch,Maintain
Bathua poori,Dinner,1496,5.9,34.6,147.8,Veg,,Veg_Dinner,Maintain
Gram flour poori (Besan poori),Lunch,1744,6.5,27.3,178.8,Veg,,Veg_Lunch,Maintain
Gram flour poori (Besan poori),Dinner,1744,6.5,27.3,178.8,Veg,,Veg_Dinner,Maintain
Beetroot poori (Chukandar ki poori),Lunch,1319,4.8,30.7,130.4,Veg,,Veg_Lunch,Maintain
Beetroot poori (Chukandar ki poori),Dinner,1319,4.8,30.7,130.4,Veg,,Veg_Dinner,Maintain
Peas poori (Matar ki poori),Lunch,1482,7.6,37.3,144.2,Veg,,Veg_Lunch,Maintain
Peas poori (Matar ki poori),Dinner,1482,7.6,37.3,144.2,Veg,,Veg_Dinner,Maintain
