Name,Type,Calories,Protein,Carbs,Fats,Tags,Allergens,Swap_Group
Orange squash (Santre ka squash),Dinner,483,0.6,127.2,0.1,Veg,None,Veg_Dinner
Lichi squash,Lunch,495,0.8,129.9,0.2,Veg,None,Veg_Lunch
Lichi squash,Dinner,495,0.8,129.9,0.2,Veg,None,Veg_Dinner
Mango squash (Aam ka squash),Lunch,486,0.4,127.4,0.4,Veg,None,Veg_Lunch
Mango squash (Aam ka squash),Dinner,486,0.4,127.4,0.4,Veg,None,Veg_Dinner
Pineapple squash (Ananas ka squash),Lunch,487,0.4,128.4,0.1,Veg,None,Veg_Lunch
Pineapple squash (Ananas ka squash),Dinner,487,0.4,128.4,0.1,Veg,None,Veg_Dinner
Lemon and ginger squash (Nimbu aur adrak ka squash),Lunch,425,1.4,110.2,0.5,Veg,None,Veg_Lunch
Lemon and ginger squash (Nimbu aur adrak ka squash),Dinner,425,1.4,110.2,0.5,Veg,None,Veg_Dinner
Apple jam (Seb ka murabba),Lunch,471,0.4,121.4,0.8,Veg,None,Veg_Lunch
Apple jam (Seb ka murabba),Dinner,471,0.4,121.4,0.8,Veg,None,Veg_Dinner
Plum jam (Aloo bukhara jam),Lunch,447,0.8,115.5,0.5,Veg,None,Veg_Lunch
Plum jam (Aloo bukhara jam),Dinner,447,0.8,115.5,0.5,Veg,None,Veg_Dinner
Pineapple jam ,Breakfast,223,0.5,57.4,0.2,Veg,None,Veg_Breakfast
Pineapple jam ,Snack,223,0.5,57.4,0.2,Veg,None,Veg_Snack
Guava jelly (Amrood ki jelly),Breakfast,173,1.7,42.3,0.4,Veg,None,Veg_Breakfast
Guava jelly (Amrood ki jelly),Snack,173,1.7,42.3,0.4,Veg,None,Veg_Snack
Orange marmalade (Santray ka murabba),Breakfast,156,1.0,38.9,0.2,Veg,None,Veg_Breakfast
Orange marmalade (Santray ka murabba),Snack,156,1.0,38.9,0.2,Veg,None,Veg_Snack
Carrot murabba (Gajar ka murabba),Lunch,438,0.8,114.0,0.4,Veg,None,Veg_Lunch
Carrot murabba (Gajar ka murabba),Dinner,438,0.8,114.0,0.4,Veg,None,Veg_Dinner
Gooseberry marmalade (Amla murabba),Breakfast,184,0.2,48.5,0.0,Veg,None,Veg_Breakfast
Gooseberry marmalade (Amla murabba),Snack,184,0.2,48.5,0.0,Veg,None,Veg_Snack
Ginger candy (Adrak ki candy),Lunch,489,1.7,126.0,0.7,Veg,None,Veg_Lunch
Ginger candy (Adrak ki candy),Dinner,489,1.7,126.0,0.7,Veg,None,Veg_Dinner
Mango pickle (Aam ka achaar),Lunch,480,4.0,20.3,44.7,Veg,None,Veg_Lunch
Mango pickle (Aam ka achaar),Dinner,480,4.0,20.3,44.7,Veg,None,Veg_Dinner
Mixed vegetable pickle (Sabziyoon ka achaar),Lunch,528,4.8,18.7,49.2,Veg,None,Veg_Lunch
Mixed vegetable pickle (Sabziyoon ka achaar),Dinner,528,4.8,18.7,49.2,Veg,None,Veg_Dinner
